survey_id,user_id,career_preference,skill_self_assessment,salary_min,salary_max,location_preference,remote_preference,career_motivation,completed_at,updated_at,questionnaire_response,personality
1,1,"{""industry"":""product_company"",""target_role"":""backend"",""current_level"":""senior"",""search_status"":""passive_open""}","{""Go"":3,""SQL"":4,""Python"":5}",,,,,"{""pressure"":""consider_short_term"",""career_type"":""specialist"",""values_top3"":[""financial_reward"",""technical_growth"",""work_life_balance""],""learning_style"":[""official_docs"",""hands_on_projects""]}",2026-02-19 23:12:51+00,2026-02-20 16:24:43+00,"{""module_a"":{""q5_devops"":""cloud_manual"",""q8_domain"":""FinTech, Distributed Systems"",""q3_backend"":""high_concurrency"",""q6_ai_data"":""api_consumer"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql"",""key_value_cache""],""q7_security"":""auth_rbac"",""q1_languages"":[{""name"":""Python"",""score"":5},{""name"":""SQL"",""score"":4},{""name"":""Go"",""score"":3}]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""fluent_reading"",""q13_learning"":""consistent_input"",""q10_tech_choice"":""team_familiarity"",""q12_code_review"":""logic_safety"",""q9_troubleshoot"":""rollback"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""product_company"",""q17_target_role"":""backend"",""q16_current_level"":""senior"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""financial_reward"",""technical_growth"",""work_life_balance""],""q22_career_type"":""specialist"",""q23_learning_style"":[""official_docs"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:00:00Z"",""trait_raw_scores"":{""decision"":2,""learning"":3,""transfer"":5,""ambiguity"":0,""structure"":10},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""A"",""Q3"":""C"",""Q4"":""B"",""Q5"":""A"",""Q6"":""B"",""Q7"":""B"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":43,""learning"":50,""transfer"":86,""ambiguity"":29,""structure"":100}}"
2,2,"{""industry"":""product_company"",""target_role"":""frontend"",""current_level"":""mid_level"",""search_status"":""passive_open""}","{""HTML/CSS"":5,""JavaScript"":5,""TypeScript"":4}",,,,,"{""pressure"":""prefer_health"",""career_type"":""generalist"",""values_top3"":[""technical_growth"",""team_culture"",""work_life_balance""],""learning_style"":[""video_courses"",""hands_on_projects""]}",2026-02-19 23:12:51+00,2026-02-20 16:24:43+00,"{""module_a"":{""q5_devops"":""docker_basic"",""q8_domain"":""E-commerce, UI/UX Design"",""q3_backend"":""unfamiliar"",""q6_ai_data"":""api_consumer"",""q2_frontend"":""framework_spa"",""q4_database"":[""rdbms_sql"",""nosql_document""],""q7_security"":""owasp_basic"",""q1_languages"":[{""name"":""JavaScript"",""score"":5},{""name"":""TypeScript"",""score"":4},{""name"":""HTML/CSS"",""score"":5}]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""fluent_reading"",""q13_learning"":""consistent_input"",""q10_tech_choice"":""team_familiarity"",""q12_code_review"":""style_check"",""q9_troubleshoot"":""log_search"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""product_company"",""q17_target_role"":""frontend"",""q16_current_level"":""mid_level"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""prefer_health"",""q20_values_top3"":[""technical_growth"",""team_culture"",""work_life_balance""],""q22_career_type"":""generalist"",""q23_learning_style"":[""video_courses"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:01:00Z"",""trait_raw_scores"":{""decision"":1,""learning"":7,""transfer"":5,""ambiguity"":2,""structure"":4},""primary_archetype"":""CROSS_DOMAIN_INTEGRATOR"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""C"",""Q3"":""B"",""Q4"":""A"",""Q5"":""A"",""Q6"":""B"",""Q7"":""A"",""Q8"":""A"",""Q9"":""A"",""Q10"":""C""},""secondary_archetypes"":[],""trait_normalized_scores"":{""decision"":29,""learning"":90,""transfer"":86,""ambiguity"":57,""structure"":40}}"
3,3,"{""industry"":""big_tech"",""target_role"":""backend"",""current_level"":""lead_architect"",""search_status"":""market_research""}","{""Go"":4,""Java"":5,""Python"":4}",,,,,"{""pressure"":""consider_short_term"",""career_type"":""specialist"",""values_top3"":[""technical_growth"",""financial_reward"",""social_impact""],""learning_style"":[""official_docs"",""books""]}",2026-02-19 23:12:51+00,2026-02-20 16:24:43+00,"{""module_a"":{""q5_devops"":""k8s_cicd"",""q8_domain"":""Distributed Computing, High-Frequency Trading"",""q3_backend"":""distributed_system"",""q6_ai_data"":""rag_langchain"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql"",""key_value_cache"",""search_engine""],""q7_security"":""audit_devsecops"",""q1_languages"":[{""name"":""Java"",""score"":5},{""name"":""Go"",""score"":4},{""name"":""Python"",""score"":4}]},""module_b"":{""q14_process"":""process_optimization"",""q15_english"":""global_comm"",""q13_learning"":""deep_dive_sharing"",""q10_tech_choice"":""tradeoff_analysis"",""q12_code_review"":""architecture_solid"",""q9_troubleshoot"":""incident_analysis"",""q11_communication"":""value_driven""},""module_c"":{""q18_industry"":""big_tech"",""q17_target_role"":""backend"",""q16_current_level"":""lead_architect"",""q19_search_status"":""market_research""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""financial_reward"",""social_impact""],""q22_career_type"":""specialist"",""q23_learning_style"":[""official_docs"",""books""]}}","{""trait_created_at"":""2026-03-04 11:02:00Z"",""trait_raw_scores"":{""decision"":3,""learning"":3,""transfer"":5,""ambiguity"":2,""structure"":8},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""A"",""Q3"":""A"",""Q4"":""B"",""Q5"":""A"",""Q6"":""A"",""Q7"":""B"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":57,""learning"":50,""transfer"":86,""ambiguity"":57,""structure"":80}}"
4,4,"{""industry"":""startup"",""target_role"":""fullstack"",""current_level"":""junior"",""search_status"":""active_urgent""}","{""SQL"":3,""HTML/CSS"":4,""JavaScript"":4}",,,,,"{""pressure"":""accept_immediately"",""career_type"":""generalist"",""values_top3"":[""technical_growth"",""team_culture"",""financial_reward""],""learning_style"":[""video_courses"",""hands_on_projects""]}",2026-02-19 23:12:51+00,2026-02-20 16:24:43+00,"{""module_a"":{""q5_devops"":""docker_basic"",""q8_domain"":""Social Media, Content Management"",""q3_backend"":""crud_api"",""q6_ai_data"":""api_consumer"",""q2_frontend"":""framework_spa"",""q4_database"":[""nosql_document""],""q7_security"":""owasp_basic"",""q1_languages"":[{""name"":""JavaScript"",""score"":4},{""name"":""HTML/CSS"",""score"":4},{""name"":""SQL"",""score"":3}]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""slow_reading"",""q13_learning"":""hoarding"",""q10_tech_choice"":""popularity"",""q12_code_review"":""style_check"",""q9_troubleshoot"":""log_search"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""startup"",""q17_target_role"":""fullstack"",""q16_current_level"":""junior"",""q19_search_status"":""active_urgent""},""module_d"":{""q21_pressure"":""accept_immediately"",""q20_values_top3"":[""technical_growth"",""team_culture"",""financial_reward""],""q22_career_type"":""generalist"",""q23_learning_style"":[""video_courses"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:03:00Z"",""trait_raw_scores"":{""decision"":3,""learning"":5,""transfer"":3,""ambiguity"":5,""structure"":0},""primary_archetype"":""AMBIGUITY_NAVIGATOR"",""trait_raw_responses"":{""Q1"":""B"",""Q2"":""C"",""Q3"":""A"",""Q4"":""A"",""Q5"":""B"",""Q6"":""A"",""Q7"":""A"",""Q8"":""B"",""Q9"":""A"",""Q10"":""C""},""secondary_archetypes"":[""LEARNING_ACCELERATOR""],""trait_normalized_scores"":{""decision"":57,""learning"":70,""transfer"":57,""ambiguity"":100,""structure"":0}}"
5,5,"{""industry"":""big_tech"",""target_role"":""devops_sre"",""current_level"":""lead_architect"",""search_status"":""passive_open""}","{""Go"":3,""SQL"":3,""Python"":4}",,,,,"{""pressure"":""consider_short_term"",""career_type"":""specialist"",""values_top3"":[""technical_growth"",""work_life_balance"",""financial_reward""],""learning_style"":[""official_docs"",""hands_on_projects""]}",2026-02-19 23:12:51+00,2026-02-20 16:24:43+00,"{""module_a"":{""q5_devops"":""iac_monitoring"",""q8_domain"":""Cloud Infrastructure, SRE Best Practices"",""q3_backend"":""db_auth_testing"",""q6_ai_data"":""pandas_numpy"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql"",""nosql_document"",""key_value_cache""],""q7_security"":""audit_devsecops"",""q1_languages"":[{""name"":""Python"",""score"":4},{""name"":""Go"",""score"":3},{""name"":""SQL"",""score"":3}]},""module_b"":{""q14_process"":""process_optimization"",""q15_english"":""global_comm"",""q13_learning"":""deep_dive_sharing"",""q10_tech_choice"":""tradeoff_analysis"",""q12_code_review"":""architecture_solid"",""q9_troubleshoot"":""incident_analysis"",""q11_communication"":""value_driven""},""module_c"":{""q18_industry"":""big_tech"",""q17_target_role"":""devops_sre"",""q16_current_level"":""lead_architect"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""work_life_balance"",""financial_reward""],""q22_career_type"":""specialist"",""q23_learning_style"":[""official_docs"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:04:00Z"",""trait_raw_scores"":{""decision"":4,""learning"":5,""transfer"":5,""ambiguity"":4,""structure"":5},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""B"",""Q3"":""A"",""Q4"":""A"",""Q5"":""A"",""Q6"":""A"",""Q7"":""A"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""AMBIGUITY_NAVIGATOR"",""PRAGMATIC_REFINER"",""LEARNING_ACCELERATOR"",""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":71,""learning"":70,""transfer"":86,""ambiguity"":86,""structure"":50}}"
6,6,"{""industry"":""product_company"",""target_role"":""frontend"",""current_level"":""mid_level"",""search_status"":""passive_open""}","{""Swift"":5,""HTML/CSS"":3,""JavaScript"":4}",,,,,"{""pressure"":""prefer_health"",""career_type"":""generalist"",""values_top3"":[""work_life_balance"",""technical_growth"",""team_culture""],""learning_style"":[""video_courses"",""hands_on_projects""]}",2026-02-19 23:12:51+00,2026-02-20 16:24:43+00,"{""module_a"":{""q5_devops"":""docker_basic"",""q8_domain"":""Mobile UX, Multimedia Streaming"",""q3_backend"":""unfamiliar"",""q6_ai_data"":""api_consumer"",""q2_frontend"":""basic_html_css"",""q4_database"":[""nosql_document""],""q7_security"":""owasp_basic"",""q1_languages"":[{""name"":""Swift"",""score"":5},{""name"":""JavaScript"",""score"":4},{""name"":""HTML/CSS"",""score"":3}]},""module_b"":{""q14_process"":""agile_scrum"",""q15_english"":""fluent_reading"",""q13_learning"":""consistent_input"",""q10_tech_choice"":""team_familiarity"",""q12_code_review"":""logic_safety"",""q9_troubleshoot"":""log_search"",""q11_communication"":""alternative_solution""},""module_c"":{""q18_industry"":""product_company"",""q17_target_role"":""frontend"",""q16_current_level"":""mid_level"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""prefer_health"",""q20_values_top3"":[""work_life_balance"",""technical_growth"",""team_culture""],""q22_career_type"":""generalist"",""q23_learning_style"":[""video_courses"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:05:00Z"",""trait_raw_scores"":{""decision"":3,""learning"":7,""transfer"":4,""ambiguity"":3,""structure"":0},""primary_archetype"":""LEARNING_ACCELERATOR"",""trait_raw_responses"":{""Q1"":""B"",""Q2"":""C"",""Q3"":""B"",""Q4"":""A"",""Q5"":""B"",""Q6"":""A"",""Q7"":""A"",""Q8"":""A"",""Q9"":""A"",""Q10"":""C""},""secondary_archetypes"":[],""trait_normalized_scores"":{""decision"":57,""learning"":90,""transfer"":71,""ambiguity"":71,""structure"":0}}"
7,7,"{""industry"":""product_company"",""target_role"":""fullstack"",""current_level"":""lead_architect"",""search_status"":""passive_open""}","{""SQL"":4,""JavaScript"":5,""TypeScript"":5}",,,,,"{""pressure"":""consider_short_term"",""career_type"":""manager"",""values_top3"":[""technical_growth"",""financial_reward"",""team_culture""],""learning_style"":[""official_docs"",""hands_on_projects"",""mentorship_community""]}",2026-02-19 23:12:51+00,2026-02-20 16:24:43+00,"{""module_a"":{""q5_devops"":""cloud_manual"",""q8_domain"":""B2B SaaS, Agile Management"",""q3_backend"":""db_auth_testing"",""q6_ai_data"":""pandas_numpy"",""q2_frontend"":""optimization_ssr"",""q4_database"":[""rdbms_sql"",""nosql_document"",""key_value_cache""],""q7_security"":""auth_rbac"",""q1_languages"":[{""name"":""JavaScript"",""score"":5},{""name"":""TypeScript"",""score"":5},{""name"":""SQL"",""score"":4}]},""module_b"":{""q14_process"":""process_optimization"",""q15_english"":""global_comm"",""q13_learning"":""deep_dive_sharing"",""q10_tech_choice"":""tradeoff_analysis"",""q12_code_review"":""architecture_solid"",""q9_troubleshoot"":""incident_analysis"",""q11_communication"":""value_driven""},""module_c"":{""q18_industry"":""product_company"",""q17_target_role"":""fullstack"",""q16_current_level"":""lead_architect"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""financial_reward"",""team_culture""],""q22_career_type"":""manager"",""q23_learning_style"":[""official_docs"",""hands_on_projects"",""mentorship_community""]}}","{""trait_created_at"":""2026-03-04 11:06:00Z"",""trait_raw_scores"":{""decision"":2,""learning"":3,""transfer"":5,""ambiguity"":2,""structure"":9},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""A"",""Q3"":""A"",""Q4"":""B"",""Q5"":""A"",""Q6"":""B"",""Q7"":""B"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":43,""learning"":50,""transfer"":86,""ambiguity"":57,""structure"":90}}"
8,8,"{""industry"":""software_house"",""target_role"":""frontend"",""current_level"":""entry_level"",""search_status"":""student_training""}","{""Python"":4,""HTML/CSS"":4,""JavaScript"":3}",,,,,"{""pressure"":""consider_short_term"",""career_type"":""generalist"",""values_top3"":[""technical_growth"",""work_life_balance"",""team_culture""],""learning_style"":[""video_courses"",""hands_on_projects""]}",2026-02-19 23:12:51+00,2026-02-20 16:24:43+00,"{""module_a"":{""q5_devops"":""paas_only"",""q8_domain"":""Library Management Systems"",""q3_backend"":""unfamiliar"",""q6_ai_data"":""pandas_numpy"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql""],""q7_security"":""framework_default"",""q1_languages"":[{""name"":""Python"",""score"":4},{""name"":""JavaScript"",""score"":3},{""name"":""HTML/CSS"",""score"":4}]},""module_b"":{""q14_process"":""waterfall_none"",""q15_english"":""slow_reading"",""q13_learning"":""hoarding"",""q10_tech_choice"":""newest_tech"",""q12_code_review"":""formality"",""q9_troubleshoot"":""log_search"",""q11_communication"":""reject""},""module_c"":{""q18_industry"":""software_house"",""q17_target_role"":""frontend"",""q16_current_level"":""entry_level"",""q19_search_status"":""student_training""},""module_d"":{""q21_pressure"":""consider_short_term"",""q20_values_top3"":[""technical_growth"",""work_life_balance"",""team_culture""],""q22_career_type"":""generalist"",""q23_learning_style"":[""video_courses"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:07:00Z"",""trait_raw_scores"":{""decision"":0,""learning"":7,""transfer"":2,""ambiguity"":3,""structure"":1},""primary_archetype"":""LEARNING_ACCELERATOR"",""trait_raw_responses"":{""Q1"":""B"",""Q2"":""C"",""Q3"":""C"",""Q4"":""A"",""Q5"":""B"",""Q6"":""C"",""Q7"":""A"",""Q8"":""A"",""Q9"":""B"",""Q10"":""C""},""secondary_archetypes"":[],""trait_normalized_scores"":{""decision"":14,""learning"":90,""transfer"":43,""ambiguity"":71,""structure"":10}}"
9,9,"{""industry"":""big_tech"",""target_role"":""devops_sre"",""current_level"":""lead_architect"",""search_status"":""passive_open""}","{""Go"":3,""SQL"":3,""Python"":4}",,,,,"{""pressure"":""accept_immediately"",""career_type"":""specialist"",""values_top3"":[""financial_reward"",""technical_growth"",""brand_reputation""],""learning_style"":[""official_docs"",""hands_on_projects"",""books""]}",2026-02-19 23:12:51+00,2026-02-20 16:24:43+00,"{""module_a"":{""q5_devops"":""iac_monitoring"",""q8_domain"":""Cloud Migration, Financial Compliance"",""q3_backend"":""db_auth_testing"",""q6_ai_data"":""pandas_numpy"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql"",""nosql_document"",""key_value_cache"",""data_warehouse""],""q7_security"":""audit_devsecops"",""q1_languages"":[{""name"":""Python"",""score"":4},{""name"":""SQL"",""score"":3},{""name"":""Go"",""score"":3}]},""module_b"":{""q14_process"":""process_optimization"",""q15_english"":""global_comm"",""q13_learning"":""deep_dive_sharing"",""q10_tech_choice"":""tradeoff_analysis"",""q12_code_review"":""architecture_solid"",""q9_troubleshoot"":""incident_analysis"",""q11_communication"":""value_driven""},""module_c"":{""q18_industry"":""big_tech"",""q17_target_role"":""devops_sre"",""q16_current_level"":""lead_architect"",""q19_search_status"":""passive_open""},""module_d"":{""q21_pressure"":""accept_immediately"",""q20_values_top3"":[""financial_reward"",""technical_growth"",""brand_reputation""],""q22_career_type"":""specialist"",""q23_learning_style"":[""official_docs"",""hands_on_projects"",""books""]}}","{""trait_created_at"":""2026-03-04 11:08:00Z"",""trait_raw_scores"":{""decision"":5,""learning"":4,""transfer"":5,""ambiguity"":2,""structure"":5},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""B"",""Q3"":""A"",""Q4"":""B"",""Q5"":""A"",""Q6"":""A"",""Q7"":""A"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""PRAGMATIC_REFINER"",""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":86,""learning"":60,""transfer"":86,""ambiguity"":57,""structure"":50}}"
10,10,"{""industry"":""software_house"",""target_role"":""frontend"",""current_level"":""entry_level"",""search_status"":""active_urgent""}","{""HTML/CSS"":4,""JavaScript"":3}",,,,,"{""pressure"":""accept_immediately"",""career_type"":""generalist"",""values_top3"":[""financial_reward"",""technical_growth"",""team_culture""],""learning_style"":[""video_courses"",""hands_on_projects""]}",2026-02-19 23:12:51+00,2026-02-20 16:24:43+00,"{""module_a"":{""q5_devops"":""paas_only"",""q8_domain"":""Online Survey Systems"",""q3_backend"":""unfamiliar"",""q6_ai_data"":""api_consumer"",""q2_frontend"":""basic_html_css"",""q4_database"":[""rdbms_sql""],""q7_security"":""framework_default"",""q1_languages"":[{""name"":""JavaScript"",""score"":3},{""name"":""HTML/CSS"",""score"":4}]},""module_b"":{""q14_process"":""waterfall_none"",""q15_english"":""slow_reading"",""q13_learning"":""hoarding"",""q10_tech_choice"":""popularity"",""q12_code_review"":""formality"",""q9_troubleshoot"":""log_search"",""q11_communication"":""comply""},""module_c"":{""q18_industry"":""software_house"",""q17_target_role"":""frontend"",""q16_current_level"":""entry_level"",""q19_search_status"":""active_urgent""},""module_d"":{""q21_pressure"":""accept_immediately"",""q20_values_top3"":[""financial_reward"",""technical_growth"",""team_culture""],""q22_career_type"":""generalist"",""q23_learning_style"":[""video_courses"",""hands_on_projects""]}}","{""trait_created_at"":""2026-03-04 11:09:00Z"",""trait_raw_scores"":{""decision"":3,""learning"":3,""transfer"":5,""ambiguity"":2,""structure"":8},""primary_archetype"":""STRUCTURE_ARCHITECT"",""trait_raw_responses"":{""Q1"":""C"",""Q2"":""A"",""Q3"":""A"",""Q4"":""B"",""Q5"":""A"",""Q6"":""A"",""Q7"":""B"",""Q8"":""A"",""Q9"":""A"",""Q10"":""A""},""secondary_archetypes"":[""CROSS_DOMAIN_INTEGRATOR""],""trait_normalized_scores"":{""decision"":57,""learning"":50,""transfer"":86,""ambiguity"":57,""structure"":80}}"
