company_name,industry,company_size,location,website,description
(捷普集團)綠點高新科技股份有限公司捷普設計服務分公司,資訊科技,,,,
(美商)台灣通用器材股份有限公司,未分類,,,,
104人力銀行_一零四資訊科技股份有限公司,資訊科技,,,,
17LIVE_藝啟股份有限公司,資訊科技,,,,
17Life_康太數位整合股份有限公司,資訊科技,,,,
55688集團_台灣智慧生活網股份有限公司,資訊科技,,,,
91APP_英屬開曼群島商九一應用軟體股份有限公司台灣分公司,資訊科技,,,,
ASMPT Technology Limited_香港商先進太平洋股份有限公司台灣分公司,資訊科技,,,,
ASUSTOR_華芸科技股份有限公司,資訊科技,,,,
Advantech_研華股份有限公司,資訊科技,,,,
Allion_百佳泰股份有限公司,資訊科技,,,,
Antaira_艾科揚股份有限公司,資訊科技,,,,
BH Global 明輝環球集團新加坡商_胤輝昇科技有限公司,資訊科技,,,,
BigGo_樂方股份有限公司,資訊科技,,,,
CATCHPLAY_英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,資訊科技,,,,
CHPT_中華精測科技股份有限公司,資訊科技,,,,
COMMEET_擁樂數據服務股份有限公司,資訊科技,,,,
Cino Group_偉斯股份有限公司,資訊科技,,,,
Compuware_肯微科技股份有限公司,資訊科技,,,,
Cooler Master_訊凱國際股份有限公司,資訊科技,,,,
DIGIEVER_永恒數位通訊科技股份有限公司,資訊科技,,,,
DMS_韓商電美世股份有限公司台灣分公司,資訊科技,,,,
DTC_迪梯西數位科技有限公司,資訊科技,,,,
DireSoft_德元軟體科技有限公司,資訊科技,,,,
"E-Century Information & Technology Co., Ltd._先得利資訊科技股份有限公司",資訊科技,,,,
ETC＿遠通電收股份有限公司,資訊科技,,,,
Eunodata_御諾資訊股份有限公司,資訊科技,,,,
GARMIN_台灣國際航電股份有限公司,資訊科技,,,,
GIS-KY(6456)業成集團_英特盛科技股份有限公司,資訊科技,,,,
GWA Energy_統量電能股份有限公司,資訊科技,,,,
Gogoro Taiwan Limited_睿能創意股份有限公司,資訊科技,,,,
HOMEE AI_睿締國際科技股份有限公司,資訊科技,,,,
"HUNG YANG SOFTWARE TECH. CO., LTD._鴻揚科技有限公司",資訊科技,,,,
Inventec_英業達股份有限公司,資訊科技,,,,
Kronos Research_麒方有限公司,資訊科技,,,,
LILEE SYSTEMS_理立系統股份有限公司,資訊科技,,,,
LRS_英屬維京群島商杰恒國際有限公司台灣分公司,未分類,,,,
LYC株式会社,資訊科技,,,,
Lexionlu Design Firm_瑞芙國際設計有限公司,設計,,,,
"Linker Vision Co., Ltd._鑫蘊林科股份有限公司",資訊科技,,,,
MyGo商學苑_平安房屋仲介股份有限公司,資訊科技,,,,
NVIDIA_新加坡商輝達開發有限公司台灣分公司,資訊科技,,,,
PChome Online_網路家庭國際資訊(股)公司,資訊科技,,,,
PMC_財團法人精密機械研究發展中心,製造業,,,,
POSITIVE GRID_佳格數位科技有限公司,資訊科技,,,,
Paramtek_拚願科技股份有限公司,資訊科技,,,,
Phison Electronics Corp_群聯電子股份有限公司,資訊科技,,,,
QNAP_威聯通科技股份有限公司,資訊科技,,,,
QSAN_廣盛科技股份有限公司,資訊科技,,,,
RADIANT KNIGHT LIMITED_薩摩亞商耀爵有限公司台灣分公司,資訊科技,,,,
Ragic_立即科技有限公司,資訊科技,,,,
SCREEN SPE Taiwan_台灣迪恩士半導體科技股份有限公司,資訊科技,,,,
TVBS_聯利媒體股份有限公司,行銷,,,,
Tezerakt_美商立方體有限公司台灣分公司,未分類,,,,
Trend Micro_趨勢科技股份有限公司,資訊科技,,,,
UGUARD NETWORKS_崴遠科技股份有限公司,資訊科技,,,,
Unition_英商優潠科技有限公司台灣分公司,資訊科技,,,,
WEINTEK_香港商威綸物聯網有限公司台灣分公司,資訊科技,,,,
Whitewater University of California,未分類,,,,
Wi-Fi ALLIANCE_香港商無線工業協作有限公司台灣分公司,資訊科技,,,,
Xtramus_拓碼科技股份有限公司,資訊科技,,,,
iSKI滑雪俱樂部_愛滑雪股份有限公司,資訊科技,,,,
一帆科技股份有限公司,資訊科技,,,,
一等一科技股份有限公司,資訊科技,,,,
一路發集運網股份有限公司,資訊科技,,,,
一通數位有限公司,資訊科技,,,,
一騰資訊服務股份有限公司,資訊科技,,,,
三久建材工業股份有限公司,資訊科技,,,,
三久股份有限公司,資訊科技,,,,
三井日本料理餐飲集團_上引水產有限公司,服務業,,,,
三井資訊股份有限公司,資訊科技,,,,
三信商業銀行股份有限公司,金融業,,,,
三商美福室內裝修股份有限公司,資訊科技,,,,
