ID,主要技能名稱,課程名稱,評分,評論數,Metadata,課程網址,課程,技能,課程資訊,師資,開課時間,建議學習時間,學習時長,語言
1,Python,Introduction to Data Analysis Using Python,4.6,11 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-data-analysis-using-python,Introduction to Data Analysis Using Python,"Data Structures, Python Programming, Object Oriented Programming (OOP), Data Analysis, Scripting, Pandas (Python Package), Analytical Skills, Data Manipulation, Algorithms, Data Cleansing, Debugging, NumPy",,,Starts Feb 17,,,
2,Python,"Python for Data Science, AI & Development",4.6,43K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-for-applied-data-science-ai,"Python for Data Science, AI & Development","JSON, Pandas (Python Package), File I/O, Object Oriented Programming (OOP), Data Analysis, Jupyter, Automation, Data Structures, Restful API, Python Programming, Data Manipulation, Web Scraping, Application Programming Interface (API), Computer Programming, Data Import/Export, NumPy, Programming Principles",,,Starts Feb 17,,,
3,Python,Python for Everybody,4.8,280K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/python,Python for Everybody,"Data Structures, Data Visualization Software, SQL, Computer Programming, Programming Principles, Database Design, Web Scraping, Network Protocols, Databases, Web Services, Data Processing, Data Cleansing, Interactive Data Visualization, Data Analysis, Data Visualization","Programming for Everybody (Getting Started with Python) | Python Data Structures | Using Python to Access Web Data | Using Databases with Python | Capstone: Retrieving, Processing, and Visualizing Data with Python",,Starts Feb 17,P2M,P2M,en
4,Python,Crash Course on Python,4.8,40K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python-crash-course,Crash Course on Python,"Problem Management, Development Environment, Programming Principles, Python Programming, Data Structures, Program Development, Integrated Development Environments, Computational Thinking, Computer Programming, Debugging",,,Starts Feb 17,,,
5,Python,Programming for Everybody (Getting Started with Python),4.8,233K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/python,Programming for Everybody (Getting Started with Python),"Software Installation, Computational Thinking, Computer Programming, Development Environment, Programming Principles, Python Programming",,,Starts Feb 17,,,
6,Python,Programming in Python,4.6,1.8K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/programming-in-python,Programming in Python,"Development Environment, Debugging, Cloud Hosting, Data Structures, Computer Programming, Python Programming, Integrated Development Environments, Unit Testing, Test Driven Development (TDD), Programming Principles, Object Oriented Programming (OOP), Django (Web Framework), Software Testing",,,Starts Feb 17,,,
7,Python,Microsoft Python Development,4.4,628 reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/microsoft-python-developer,Microsoft Python Development,"Matplotlib, Data Structures, Agile Methodology, DevOps, Web Scraping, Data Ethics, Version Control, Automation, Debugging, Web Development, Cloud Computing, Data Analysis, Scripting, Devops Tools, Data Visualization",Python Programming Fundamentals | Data Analysis and Visualization with Python | Automation and Scripting with Python | Web Development with Python | Advanced Python Development Techniques | Project Development in Python,,Starts Feb 17,P4M,P4M,en
8,Python,Data Analysis with Python,4.7,20K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/data-analysis-with-python,Data Analysis with Python,"Model Evaluation, Regression Analysis, Data Visualization, Exploratory Data Analysis, Data Analysis, Statistical Analysis, Matplotlib, NumPy, Feature Engineering, Predictive Modeling, Scikit Learn (Machine Learning Library), Data Cleansing, Predictive Analytics, Data Manipulation, Data Import/Export, Pandas (Python Package), Python Programming, Data Transformation, Data Preprocessing",,,Starts Feb 17,,,
9,Python,Python Basics,4.8,18K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/python-basics,Python Basics,"Computer Programming, Data Structures, Diagram Design, Program Development, Computer Graphics, Python Programming, Programming Principles, Debugging",,,Starts Feb 17,,,
10,Python,Python 3 Programming,4.8,23K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/python-3-programming,Python 3 Programming,"Unit Testing, Data Structures, Image Analysis, Computer Programming, Programming Principles, Web Scraping, Data Manipulation, File I/O, Debugging, Data Import/Export, Software Design, Data Processing, Program Development, Object Oriented Programming (OOP), Object Oriented Design","Python Basics | Python Functions, Files, and Dictionaries | Data Collection and Processing with Python | Python Classes and Inheritance | Python Project: Software Engineering and Image Manipulation",,Starts Feb 17,P3M,P3M,en
11,Python,Machine Learning with Python,4.7,18K reviews,Intermediate · Course · 1 - 3 Months,https://www.coursera.org/learn/machine-learning-with-python,Machine Learning with Python,"Feature Engineering, Dimensionality Reduction, Unsupervised Learning, Regression Analysis, Logistic Regression, Python Programming, Scikit Learn (Machine Learning Library), Classification Algorithms, Decision Tree Learning, Machine Learning, Applied Machine Learning, Supervised Learning, Predictive Modeling, Model Evaluation",,,Starts Feb 17,,,
12,Python,Google IT Automation with Python,4.8,53K reviews,Advanced · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/google-it-automation,Google IT Automation with Python,"Interviewing Skills, Programming Principles, Version Control, Automation, Web Services, Infrastructure as Code (IaC), Debugging, Cloud Services, Configuration Management, Email Automation, Program Development, Test Automation, Technical Communication",Crash Course on Python | Using Python to Interact with the Operating System | Introduction to Git and GitHub | Troubleshooting and Debugging Techniques | Configuration Management and the Cloud | Automating Real-World Tasks with Python | Accelerate Your Job Search with AI,,Starts Feb 17,P6M,P6M,en
13,JavaScript,Programming with JavaScript,4.7,4.9K reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/programming-with-javascript,Programming with JavaScript,"Computer Programming, Unit Testing, Program Development, JSON, Debugging, Package and Software Management, Web Applications, Web Development Tools, Event-Driven Programming, Programming Principles, Data Structures, Object Oriented Programming (OOP), Development Environment, Jest (JavaScript Testing Framework), Functional Design, Node.JS, Front-End Web Development, Javascript",,,Starts Feb 17,,,
14,JavaScript,"Introduction to HTML, CSS, & JavaScript",4.4,800 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-html-css-javascript,"Introduction to HTML, CSS, & JavaScript","Responsive Web Design, Back-End Web Development, Javascript, Bootstrap (Front-End Framework), Scripting, Web Development, Application Programming Interface (API), Cascading Style Sheets (CSS), Browser Compatibility",,,Starts Feb 17,,,
15,JavaScript,JavaScript for Beginners,4.7,1.1K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/javascript-beginner,JavaScript for Beginners,"Data Validation, Animations, Programming Principles, Game Design, Javascript, Data Manipulation, Event-Driven Programming, Ajax, Object Oriented Programming (OOP), Web Design and Development, Scripting, HTML and CSS, Javascript and jQuery, Scripting Languages",JavaScript Basics | Animation with JavaScript and jQuery | Interactivity with JavaScript and jQuery | Data Manipulation in JavaScript,,Starts Feb 17,P2M,P2M,en
16,JavaScript,IBM Full-Stack JavaScript Developer,4.6,9.2K reviews,Beginner · Professional Certificate · 3 - 6 Months,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,IBM Full-Stack JavaScript Developer,"Engineering Software, Database Design, Cloud Deployment, Cloud-Native Computing, Javascript, Application Deployment, Software Architecture, CI/CD, Ajax, Responsive Web Design, Software Development Life Cycle","Introduction to Software Engineering | Introduction to HTML, CSS, & JavaScript | Getting Started with Git and GitHub | JavaScript Programming Essentials | Developing Front-End Apps with React | Developing Back-End Apps with Node.js and Express | Get Started with Cloud Native, DevOps, Agile, and NoSQL | Introduction to Containers w/ Docker, Kubernetes & OpenShift | Application Development using Microservices and Serverless  | Node.js & MongoDB: Developing Back-end Database Applications | JavaScript Full Stack Capstone Project | Software Developer Career Guide and Interview Preparation",,Starts Feb 17,P4M,P4M,en
17,JavaScript,"JavaScript Programming with React, Node & MongoDB",4.4,1.4K reviews,Beginner · Specialization · 3 - 6 Months,https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb,"JavaScript Programming with React, Node & MongoDB","Data Structures, Performance Tuning, Database Design, Full-Stack Web Development, Javascript, Databases, Debugging, Front-End Web Development, Server Side, Ajax, Back-End Web Development, React.js, API Design",JavaScript Programming Essentials | Developing Front-End Apps with React | Developing Back-End Apps with Node.js and Express | Node.js & MongoDB: Developing Back-end Database Applications,,Starts Feb 17,P2M,P2M,en
18,JavaScript,Advanced JavaScript,4.6,17 reviews,Intermediate · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/advanced-javascript,Advanced JavaScript,"Data Structures, Data Validation, Software Engineering, Maintainability, Data Management, Software Design Patterns, Performance Tuning, Programming Principles, Javascript, Event-Driven Programming, Software Development, Debugging, Web Development, Ajax, Object Oriented Programming (OOP), Scripting, Computational Logic, Prototyping","Advanced JavaScript 1: Objects, Loops, Hoisting | Advanced JavaScript 2: Async JS, APIs, Operators, Objects | Advanced JavaScript 3: Objects, Collections, Functions",,Starts Feb 17,P1M,P1M,en
19,JavaScript,"HTML, CSS, and Javascript for Web Developers",4.7,17K reviews,Beginner · Specialization · 1 - 3 Months,https://www.coursera.org/specializations/html-css-javascript-for-web-developers,"HTML, CSS, and Javascript for Web Developers","Development Environment, Javascript, Event-Driven Programming, Web Development, Front-End Web Development, Ajax, Browser Compatibility, Web Content Accessibility Guidelines, Object Oriented Programming (OOP), Web Design and Development, Responsive Web Design, Scripting, HTML and CSS, Web Design","HTML, CSS, and Javascript for Web Developers | Introduction to CSS3 | Coding the Static Restaurant Site | Introduction to Javascript and Ajax: Building Web Apps",,Starts Feb 17,P1M,P1M,en
20,JavaScript,Introduction to JavaScript Programming,4.1,9 reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/introduction-to-javascript-programming,Introduction to JavaScript Programming,"Software Documentation, Development Environment, Maintainability, Software Development, Debugging, Software Design, Computer Programming, Data Management, Javascript, Data Structures, Game Design, Data Validation",,,Starts Feb 17,,,
21,JavaScript,JavaScript Programming Essentials,4.5,171 reviews,Beginner · Course · 1 - 3 Months,https://www.coursera.org/learn/javascript-programming-essentials,JavaScript Programming Essentials,"Web Applications, Computer Programming, Object Oriented Programming (OOP), Event-Driven Programming, Software Development, Web Development, HTML and CSS, Javascript, Ajax, Data Structures, JSON, Git (Version Control System), Debugging, Scripting, Application Programming Interface (API)",,,Starts Feb 17,,,
22,JavaScript,Interactivity with JavaScript,4.7,7.4K reviews,Beginner · Course · 1 - 4 Weeks,https://www.coursera.org/learn/javascript,Interactivity with JavaScript,"Interactive Design, Web Applications, Web Design and Development, Web Development, Javascript, Event-Driven Programming, User Interface (UI), Debugging, Data Validation, Web Content Accessibility Guidelines, HTML and CSS",,,Starts Feb 17,,,
