job_id,job_name,company_name,company_url,update_date,url,status,job_description,job_category,salary,job_type,location,management,business_trip,work_time,vacation,start_work,headcount,work_exp,education,major,language,skills,tools,certificates,other_requirements,legal_benefits,other_benefits,raw_benefits,contact_info,actively_hiring,applicants,created_at
109g12026-01-21,C#軟體工程師,泛太資訊科技開發股份有限公司,,2026-01-21,https://www.104.com.tw/job/109g1?jobsource=joblist_list,active,"- 熟悉C#、.NET 、ASP.Net
-依據系統需求規格進行程式設計與開發
-使用 C# 語言開發應用程式功能模組
-撰寫 ASP.NET Core Web API 服務
-開發 ASP.NET Core MVC 網頁應用系統
- 本職務可能之工作內容包括軟體產品研發、客製專案開發、現有系統維護",軟體工程師、Internet程式設計師、系統分析師,待遇面議,全職,台北市大安區光復南路102號7樓,不需負擔管理責任,無需出差外派,"日班
09:00~18:30",週休二日,兩週內,2~4人,5年以上,專科以上,不拘,"中文 -- 聽 /精通、說 /精通、讀 /精通、寫 /精通
英文 -- 聽 /略懂、說 /略懂、讀 /中等、寫 /略懂
提升語文能力
提升語文能力",軟體程式設計、資料庫程式設計,Windows 2003、Windows XP、ASP.NET、C#、Visual Basic .net、Visual C#、WinForm、ANSI SQL、MS SQL、ODBC、RDBMS、HTML、JavaScript,,,週休二日、勞保、健保、職災保險,年終獎金、三節獎金/禮品、專業證照獎金、結婚禮金、生育津貼、員工進修補助、國內旅遊、部門聚餐、免費下午茶、伙食津貼、員工團體保險,"泛太資訊遵循勞基法之相關規定並提供下列福利

►黃金地段辦公室！國父紀念館站１號出口，輕鬆漫步３分鐘就到，早上多睡10分鐘不是夢！
►寬敞舒適的工作環境，融洽歡樂的團隊氛圍！
►真正的週休二日，不打擾的放鬆時光！完善的三寶保障：勞保、健保、團保，退休金讓未來更有保障！
►成長不止步！專業教育訓練助你職涯起飛，技能UP↑UP↑，薪資UP↑UP↑！
►禮金福利大放送！端午、中秋雙節禮金，績效獎金讓努力被看見，年終獎金讓荷包滿滿！
►辦公室零食吧吃不完！各式點心、飲料免費供應，餓了渴了隨時享用！
►定期員工旅遊嗨翻天！團隊聚餐促進感情，工作生活兩相宜！
►超長午休90分鐘！吃飯、小睡、充電，下午精神百倍，工作效率直線上升！","陳小姐
02-27313250-202
本職務設定3個工作天回覆",false,0~5,2026-01-28 09:02:28.359263+00
1x89f2026-01-26,研發替代役-軟體工程師,凌群電腦股份有限公司,,2026-01-26,https://www.104.com.tw/job/1x89f?jobsource=joblist_list,active,"軟體開發與設計、架構設計、資料設計、系統整合、軟體產品研發、技術管理、專案管理

※薪資依學經歷敘薪",軟體工程師、系統分析師、Internet程式設計師,"月薪37,000元以上取得專屬你的薪水報告",全職,台北市萬華區峨眉街115號6樓,不需負擔管理責任,需出差，一年累積時間未定,"日班
08:30~17:30",週休二日,不限,6人,不拘,碩士,資訊工程相關、資訊管理相關、數學及電算機科學學科類,"英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等
提升英文能力
提升英文能力",,,,"1.研究所以上資訊相關系所畢
2.熟稔Java或.Net語言
3.具系統分析設計與程式撰寫能力
4.具團隊合作及溝通協調能力",哺乳室、週休二日、家庭照顧假、勞保、健保、陪產假、產假、特別休假、育嬰留停、女性生理假、勞退提撥金、安胎假、產檢假、就業保險、防疫照顧假、員工體檢、職災保險,生育津貼、社團補助、員工進修補助、部門聚餐、社團活動、特約商店、內部講師鐘點費、員工團體保險,"人才是凌群最重要的資產 
用心照護。安心工作

【凌群福利措施】

★完善的保險保障★
1.勞保
2.健保
3.團體保險
 ◆定期壽險
 ◆意外險
 ◆重大疾病險
 ◆醫療險
 ◆防癌險
 ◆職災給付保障
4.退休金提撥

★貼心的健康把關★
1.定期員工健康檢查
2.專職護理師身心諮詢
3.定期醫師駐診服務
4.不定期健康促進講座
5.專任職業安全衛生管理員，維護安全工作環境
6.專屬哺乳室
7.明亮無菸的職場環境
8.定期環境空氣及水質檢測

★重視人才的發展★
1.基礎及專業技能訓練及認證
2.技術交流與分享
3.員工內外訓進修補助
4.管理階層訓練
5.產品相關課程及講座
6.E-Learning線上學習
7.研發專利獎金

★特別日子的心意★
1.生日當月禮金祝賀
2.生育祝賀金
3.結婚祝賀金
4.喪葬補助金

★豐富的休閒活動★
1.不定期國內外員工旅遊
2.多樣化社團活動 (瑜珈社/羽球社/健行社/高爾夫球社等)
3.各式特約商店、企業團購優惠

★共享努力成果★
1.員工分紅制度
2.年終獎金
3.節日禮品
4.每季啤酒會部門聚餐同樂
5.尾牙聚餐抽獎聯歡
6.傑出技術及資深員工表揚","李小姐
誠摯邀請您至公司網站www.syscom.com.tw 更進一步認識凌群，並期待與您一同成長與進步！

為響應環保節能愛地球，請使用電子檔傳送應徵資料。

我們收到您的應徵資料後會儘速處理，初審通過後將再與您聯繫面談時間。 您的履歷我們一律保密，合則約談，不合者不另行通知。 

開始辦理研發替代役招考中，歡迎有興趣者應徵！",false,0~5,2026-01-28 09:26:33.981361+00
1xpg22026-01-16,系統工程師(高雄),瑞訊股份有限公司,,2026-01-16,https://www.104.com.tw/job/1xpg2?jobsource=joblist_bact_n,active,"PLC 或
SCADA (Supervisory Control And Data Acquisition)
為具有""監控""和""資料擷取""功能的自動化系統
電力監控系統舉凡電子廠、石油、化工、汽車生產業都是其應用領域

我們主要設計、製作及維護 ＂PLC或電力監控系統 ＂專案
小型系統如水、電錶抄表系統，大型如全廠供電系統，變電所監控，發電廠電力監控都有實績
本職位主要工作內容：
1.使用圖控軟體設計、開發客製化的監控系統。 
2.通訊設定,測試及修改。
3.配合專案地點，會有出差的機會。

未來本部門將以PLC及SCADA系統為核心，擴展成此類型專業團隊
非常歡迎具有此類工作有興趣(有相關經驗更佳)，加入我們的團隊！
我們會依照您的工作經驗安排教育訓練計畫，讓您在這個職位工作勝任愉快!",網路管理工程師、通訊軟體工程師、軟體工程師,"月薪35,000~50,000元取得專屬你的薪水報告",全職,高雄市大社區萬金路385巷3-2號,不需負擔管理責任,需出差，一年累積時間未定,"日班
08:00~17:30",週休二日,不限,2~5人,不拘,高中、專科、大學,電機電子工程相關、資訊工程相關、資訊管理相關,"英文 -- 聽 /略懂、說 /略懂、讀 /略懂、寫 /略懂
提升英文能力
提升英文能力",作業系統基本操作、資料備份與復原、資訊設備環境設定,Windows Server 2019、C++、Visual Basic、MS SQL、PLC,,有其他專項-可面談,,,"有 勞保,健保,6%勞退 職災保險 團險保險, 定期健檢.
端午 中秋(積效) 年終 獎金 生日禮金 團旅獎勵 及 其他補助福利.
星期一 ～ 星期五 , 周休二日, 國定假日休
08:00 ～12:00 13:00 ～ 17:30","黃小姐
02-27913888-232",false,0~5,2026-01-28 12:16:02.601638+00
1yf7o2025-12-10,資料庫程式工程師,商智資訊股份有限公司,,2025-12-10,https://www.104.com.tw/job/1yf7o?jobsource=joblist_list,active,"資料庫程式工程師
熟悉 SQL Server/Oracle/DB2 任一種資料庫操作",軟體工程師、資料庫管理人員、MIS程式設計師,"月薪35,000~75,000元取得專屬你的薪水報告",全職,台北市大安區復興南路2段363號3樓,不需負擔管理責任,需出差，一年累積時間未定,"日班
9-18",依公司規定,不限,2~3人,1年以上,大學以上,不拘,"英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等
提升英文能力
提升英文能力",,DB2、MS SQL、Oracle,,"1. 熟資料庫SQL 語法, 指令及運用
2. 有 Store Procedure coding 一年(含)以上經驗
3. 熟悉 SQL Server/Oracle/DB2 任一種資料庫操作",,,"◆ 獎金/禮品類 
1. 端午節/中秋節/年終(三節)獎金 

◆ 保險類 
1. 勞保/勞退 
2. 健保 
3. 團體保險：壽險、意外險、意外醫療險、住院醫療險、重大疾病險、職業災害險 

◆ 制度類 
1. 誤餐費 
2. 專案獎金 
3. 績效獎金

◆ 請 / 休假制度 
1. 週休二日 
2. 第一年即享有年度特休假 
3. 不扣薪慰勞假5日 
4. 其他假別依勞基法規定為準 

◆ 補助類 
1. 婚喪禮金 
2. 員工進修補助 
3. 國內.外旅遊/補助 

◆ 其他 
1. 健康檢查(半日型套檢) 
2. 尾牙活動
3. 部門聚餐 
4. 員工福利(福利金活動..等) 
另有現沖咖啡、飲料、零食點心...等無限供應


**原住民優先入選**",謝先生/字先生,false,0~5,2026-01-28 11:39:24.304585+00
21v0f2025-12-29,軟體工程師(新竹),展達通訊股份有限公司_群光集團關係企業,,2025-12-29,https://www.104.com.tw/job/21v0f?jobsource=joblist_list,active,"負責開發 IP-Cam 與其他 IoT 相關產品 之韌體或軟體，主要開發語言為 C / C++。
工作項目包含：
1.設備底層韌體開發
　A. 提供生產測試所需的韌體功能
　B. 支援 EMI / FCC 等相關認證測試所需功能
　C. 提供客戶端應用程式介接的韌體支援
2.硬體驅動程式 (Device Driver) 的開發、移植與驗證
3.在 Linux / RTOS 平台上進行除錯與效能最佳化
4.處理並追蹤 客戶端問題回報，持續改善產品品質
5.主管交辦的其他相關事項
我們正在尋找對 嵌入式系統 (Embedded System) 開發具熱忱，並擁有實務經驗的夥伴。",軟體工程師、韌體工程師、通訊軟體工程師,待遇面議,全職,新竹市埔頂路27號3樓之1,不需負擔管理責任,需出差，一年累積時間約一個月以下,日班,週休二日,一個月內,2~3人,1年以上,大學、碩士,資訊工程相關、電機電子工程相關、通信學類,"英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等
提升英文能力
提升英文能力",,,,"1.一年以上 網路產品或軟體開發經驗
2.具 IP-Cam 韌體開發經驗 者尤佳
3.熟悉 Internet 通訊協定 (TCP/IP、HTTP、RTSP 等) 者佳
4.具 影像 / 聲音處理 相關產品開發經驗者佳
5.具 電池供電類產品 之開發經驗者佳",哺乳室、週休二日、勞保、健保、陪產假、產假、特別休假、育嬰留停、女性生理假、勞退提撥金、產檢假、就業保險、員工體檢、職災保險,員工紅利、年終獎金、三節獎金/禮品、特殊節日獎金禮品、交通車、員工餐廳、結婚禮金、生育津貼、停車費補助、旅遊補助、住院慰問金、慶生會、社團活動、員工停車位、伙食津貼、員工團體保險,"1. ★員工分紅
2. ★三節、勞動節禮金及生日禮金
3. ★免費員工團保
4. ★免費定期健康檢查
5. ★完整的教育訓練及生涯規劃
6. ★午餐與晚餐補助
7. ★員工餐廳、咖啡廳
8. ★汽/機車停車場
9. ★接駁車(通勤時段往返捷運先嗇宮站/新北產業園區站)
10. ★生育、婚、喪喜慶補助
11. ★生育獎勵－第二胎起(含)
12. ★員工旅遊補助
13. ★員工社團活動
14. ★慶生會
15. ★集團家庭日
16. ★大型年終尾牙餐會",康小姐,false,0~5,2026-01-28 08:14:12.877592+00
25dm52026-01-21,系統軟體設計工程師,冠宇國際電子股份有限公司,,2026-01-21,https://www.104.com.tw/job/25dm5?jobsource=joblist_list,active,"＊大專以上電子、電機、資訊相關系所畢
＊5年以上相關工作經驗
＊具C/C++, Assembly, Java
＊熟悉ARM Cortex-A embedded system software相關經驗
＊在 Android / Linux / WinCE 有 bootloader, driver, middleware 開發經驗",軟體工程師、韌體工程師、軟韌體測試工程師,待遇面議,全職,台北市南港區園區街3-2號6F-1,不需負擔管理責任,無需出差外派,"日班
09:00~18:00",週休二日,不限,1~2人,10年以上,專科以上,數學及電算機科學學科類、工程學科類、自然科學學科類,"英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等
提升英文能力
提升英文能力",,,,,,,"1.年薪12個月 2.年度配股 3.年終分紅
4.享健保/勞保 5.免費定期健康檢查 
6.教育訓練補助 7.婚喪喜慶補助、男性員工陪產假
8.三節禮金或禮卷
9.週休二日
10.人性化管理,上下班不打卡
11. 員工旅遊及聚餐
12. 福委會生日禮金及年節禮金",李心湄小姐,false,0~5,2026-01-28 08:50:41.795285+00
26wvv2026-01-26,軟體工程師(Java),億光電子工業股份有限公司,,2026-01-26,https://www.104.com.tw/job/26wvv?jobsource=joblist_list,active,"1.軟體需求分析、設計及撰寫
2.相關系統維運與管理
3.相關資訊專案導入執行

Job Description

1.Software requirement analysis, design, and documentation.
2.Maintenance and management of related systems.
3.Execution of information technology projects.",系統分析師、軟體工程師、系統工程師,"月薪36,000元以上取得專屬你的薪水報告",全職,新北市樹林區中華路6-8號,不需負擔管理責任,無需出差外派,"日班
08:30~17:30",週休二日,一個月內,1人,2年以上,大學、碩士,不拘,"英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等
提升英文能力
提升英文能力",,Java、PL/SQL、Excel、PowerPoint、Word,,"1.Java程式開發經驗且獨立運作者
2.熟悉Oracle等關聯式資料庫
3.具系統維運及整合經驗
4.製造業經驗者佳
5.具備”資料庫設計/開發與管理、資訊系統分析與設計“能力
6.若有 code review及performance tuning經驗尤佳
※持有經濟部能力鑑定(iPAS)證書者優先面試!  ISE
※歡迎緯育TibaMe學員投遞履歷
持有「全民英檢」或「培力英檢」成績證照者優先面試 LTTC (GEPT) (BESTEP)",,,"Employee Incentive 
我們重視員工的表現，並樂於和所有員工共享成果。
◆年度盈餘分紅 Year-end Bonus ◆目標達成獎金 
Goal Achievement Bonus ◆提案改善獎金 Improvement proposal Bonus ◆研發專利獎金 Patent Bonus ◆特殊專案獎金 Special Project bonus

除此之外，我們提供員工多元化的貼心服務，讓員工能兼顧工作與生活，無後顧之憂

【公司設施】Company Utilities
◆員工宿舍dormitory、餐廳Restaurant、便利商店 convenience storeu、停車場 Parking Lot
◆健身房Gym、桌球室 Table Tennis Room、韻律教室 Rhythm classroom

【休閒娛樂】Entertainment 
◆節慶/藝文/公益活動 Festivial/Arts and Cultural / Charitable Activity
◆社團活動、體育競賽 Club、Sports Competition
◆圖書/期刊借閱 Book/ Magazine / Periodical 

【員工關懷】ERP
◆免費團體保險 Group Insurance
◆員工健檢/醫師駐廠 regular physical check-up/ on-site doctor
 ◆健康促進活動:健康講座課程 Health Course、EAP員工協助
 
【其他】Others
◆三節/五一/生日禮券 Holidays/Birthday Bonus
◆婚喪喜慶/生育/傷病補助 Wedding and funeral/ maternity allowance/ Injury allowance
◆旅遊、聚餐補助 Travel 、dinetogether Allowance
◆午餐、晚餐補助 Lunch、Dinner Allowance
◆特約餐廳及商店折扣 Appointed store Discount
◆子女獎助學金/在職進修 Scholarship / OJT",人力資源處,false,0~5,2026-01-28 09:02:39.500432+00
274jy2026-01-22,115年度研發替代役 - 軟體工程師 Software Engineer,甲尚股份有限公司,,2026-01-22,https://www.104.com.tw/job/274jy?jobsource=joblist_list,active,"不作曇花一現只求免費下載量的 App，也不作代工設計的程式碼生產線。
在Reallusion 甲尚，你會與精通 Pipeline 的技術視覺專家、美學涵養豐富的 Art，國內外 Power User 跨界合作，共同開發符合使用者需求的動畫編輯工具。

1. 加入產品開發團隊，開發3D動畫相關軟體產品或共用模組。
2. 進行新技術研究，並將研究成果實踐至各創新產品中。
3. 透過持續優化的產品開發循環，與不同屬性的團隊共同進行研發，持續交付穩定而優質的產品。
4. 進行軟體品質改善及控管之相關活動及測試：Code review / Code refactoring 及 Integration Test / Unit Test。",軟體工程師、遊戲工程師,待遇面議,全職,新北市新店區寶橋路235巷126號2樓,不需負擔管理責任,無需出差外派,"日班
09:30~18:30 (彈性上班08:30~10:00)",週休二日,不限,4人,不拘,碩士以上,電機電子工程相關、資訊工程相關、資訊管理相關,"英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等
提升英文能力
提升英文能力",,C++,,"【符合以下條件更具優勢】
1. 具備 C++ 程式開發經驗，熟悉 Visual Studio 開發環境。
2. 具備 Computer Vision、Image Processing、Computer Graphics 或 Deep Learning 相關研究經驗。 
3. 具備 Max 或 Maya 動畫工具使用經驗。
4. 具備 Unity3D 或 Unreal 開發經驗。
5. 具備 AI 相關經驗或知識。",哺乳室、週休二日、家庭照顧假、勞保、健保、陪產假、產假、特別休假、育嬰留停、女性生理假、勞退提撥金、產檢假、就業保險、員工體檢、職災保險,員工紅利、員工認股、年終獎金、三節獎金/禮品、生活工作諮詢、生日假、旅遊假、結婚禮金、生育津貼、社團補助、旅遊補助、國內旅遊、國外旅遊、部門聚餐、社團活動、員工停車位、特約商店、免費下午茶、員工團體保險、不用補班,"【彈性上班時間】
￭ 8:30 - 10:00 優於業界的彈性上班時間，讓你兼顧生活與工作

【Reallusion 專屬假期】優於勞基法，一年至少多4-6天假期
￭ Reallusion 官網生日假，別人上班我們放假
￭ 員工旅遊假，工作之餘也要認真玩
￭ 員工生日假，壽星專屬的一天
￭ 靜空假，什麼都不要想，放假就對了

【吸引你的薪酬獎勵制度】
￭ 保障年薪至少14個月，讓你工作有回報
￭ 員工分紅制度，全體夥伴都有份
￭ 依照績效考核發放季獎金，即時回饋
￭ 依照年度績效考核與調薪，收入即獎勵
￭ 專利提案獎金制度，點子變現金
￭ 專案激勵獎金，努力不會白費
￭ 年度模範員工表揚，等你來拿
￭ 專業/主管雙軌制的職涯發展，發揮你所長
￭ 人才推薦拿獎金，人人都是招募大使

【上班生活更精彩】
￭ 豐富的社團活動，還能結交新朋友
￭ 黑皮Time下午茶療癒你
￭ 不定期舉辦各類理財/健康講座，增強新知識
￭ 甜甜的哈根達斯冰淇淋優惠價
￭ 人體工學椅，上班不痠痛

【更多貼心的福利】
￭ 重要節慶、生日、結婚、生育、生病慰問、喪葬慰問，提供津貼或禮金
￭ 員工團險，生活更有保障
￭ 每年舉辦健檢活動，檢查一站式搞定
￭ 醫護臨場健康諮詢，守護你的健康
￭ EAP員工生活協助方案(法律/財務/心理免費專業諮詢服務)，即時提問更安心
￭ 員工旅遊補助，贊助你出遊
￭ 社團活動費用補助，投資你發展興趣
￭ 企業特約廠商好優惠","張小姐
本職務設定7個工作天回覆",false,0~5,2026-01-28 08:01:49.933611+00
28p1c2026-01-20,軟體工程師,禾瑞亞科技股份有限公司,,2026-01-20,https://www.104.com.tw/job/28p1c?jobsource=joblist_bact_n,active,"[關於這份工作]
我們需要對於軟體、演算法開發有興趣，且能喜愛自己工作的夥伴。只要你善於團隊合作、勇於挑戰技術難題、對於各種科技新知充滿熱忱與好奇。並具備以下工作技能任一項，歡迎投履歷給我們，讓我們有機會可以見面交流你我的想法、找到彼此適合的職場夥伴創造更好的前景與未來。

此職缺依據不同職務，主要負責之工作內容分別有：
1. 電子產品的軟體、韌體、作業系統之驅動程式開發。
2. 應用軟體開發及維護。

[條件要求]
無工作經驗可，理工相關科系碩士畢業。

[必須具備]
1. 熱愛電腦程式設計及使用，對程式設計工作有熱忱
2. 良好的溝通能力、邏輯表達能力及團隊合作精神

依不同職務的需求，至少擁有以下條件之一將會是加分的
1. 熟悉C / C++ / Java 程式語言
2. Linux、Android or WinCE/Embedded Compact 軟體開發經驗
3. MFC、Visual Studio 程式設計經驗
4. 熟悉Script language (Shell, Perl or Python)
5. 嵌入式系統開發經驗
6. 自動化建置、與測試流程開發經驗",軟體工程師、韌體工程師、演算法工程師,待遇面議,全職,台北市內湖區瑞光路302號11樓,不需負擔管理責任,需出差，一年累積時間約一個月以下,"日班
09:00~18:00",週休二日,不限,1~3人,不拘,碩士以上,電機電子工程相關、資訊工程相關、一般數學相關,"英文 -- 聽 /中等、說 /中等、讀 /精通、寫 /精通
提升英文能力
提升英文能力",軟體工程系統開發、軟體程式設計,,,,,,本公司員工福利皆依勞基法規定，另享有福利如:旅遊假、定期健康檢查、三節年節獎金、員工旅遊補助及其他職福會各項福利等。,HR,false,0~5,2026-01-28 07:17:13.886377+00
29ftn2026-01-26,軟體測試工程師,尊博科技股份有限公司,,2026-01-26,https://www.104.com.tw/job/29ftn?jobsource=joblist_bact_n,active,"尋找熱衷於品質把關(或是想成為品質把關者)的你，加入我們的團隊!
作為一名測試工程師，工作絕不只是測試，而是成為品質守門員。
我們有信心加入這個團隊的每個人，測試通過的遊戲/軟體都是Qualified的產品。


**工欲善其事，必先利其器**
對於每一位加入我們的成員，皆會提供完整的教育訓練，深入瞭解產品與技術後再上場實戰，參與每一場與品質的爭霸戰。


**工作內容**
1. 商用遊戲機台之功能規格驗證(包含軟、硬體)。
2. 測試規劃、測試執行、測試管理、問題追蹤。
3. 產品市場需求討論與規格制定。
4. 國際法規Guarantee (法規內容皆為英文)。",軟韌體測試工程師、品管／品保工程師、軟體工程師,"月薪32,000~54,000元取得專屬你的薪水報告",全職,台中市西屯區工業38路210號6樓之3,不需負擔管理責任,無需出差外派,"日班
09:30~18:30",週休二日,一個月內,1~3人,不拘,不拘,資訊管理相關、數學及電算機科學學科類、電機電子工程相關,"英文 -- 聽 /中等、說 /中等、讀 /中等、寫 /中等
提升英文能力
提升英文能力",,,,"1. 強烈的求知慾&好奇心、凡事能夠追根究柢
2. 需具備英文閱讀能力(需閱讀國際產業標準)
3. 同時徵求 具備自動化測試工具(框架)設計、導入的人才 加入我們團隊
4. 應徵時附上自薦信(Cover Letter)尤佳",哺乳室、週休二日、家庭照顧假、勞保、健保、陪產假、產假、產檢假、員工體檢、職災保險,年終獎金、三節獎金/禮品、員工餐廳、零食櫃、咖啡吧、健身器材、員工舒壓按摩、旅遊假、結婚禮金、社團補助、員工進修補助、旅遊補助、國外旅遊、部門聚餐、社團活動、家庭日、特約商店、健身房、優於勞基法特休、員工團體保險、員工體檢假,"※ 防詐騙提醒 ※
本公司不會要求求職者提供銀行帳戶、提款卡或進行匯款等，請求職者提高警覺、多加注意並確認求職管道及工作內容，切莫誤信造成損害。

★ 薪資獎金★ 存下人生第N桶金
提供具競爭力的薪資 與 年節獎金
生日及婚喪喜慶各類禮金
人才介紹獎金制度

★ 保險福利 ★ 勞基法有的一定有，勞基法沒有的我們也有！
團體保險(內含壽險、意外險、醫療險...等)
新人到職即預給特休
旅遊補助+有薪假
員工健康檢查補助
免費視障舒壓按摩服務

★ 吃吃喝喝 ★ 吃貨看過來
免費供應專業廚師現煮午餐及晚餐→營養滿分
專業咖啡機現煮咖啡、豆漿鮮奶→無限暢飲
多樣化零食、當季新鮮水果→無料放題
部門聚餐補助→增加同仁情(ㄊㄧˇ)感(ㄓㄨㄥˋ)

★ 邊玩邊學 ★ 活到老 動到老 學到老 玩到老
多元化教育訓練及費用補助、進修書籍補助
各種運動社團，培養運動好習慣
設有健身室，鼓勵同仁保持健康體態
114年獲得國健署健康職場認證健康啟動標章
不定期舉辦歡樂家庭日，邀請同仁及眷屬一同吃喝玩樂","HR
歡迎加入我們的Facebook粉絲專頁及Instagram，一起融入我們的生活吧!

Facebook
https://www.facebook.com/JumboTechnology

Instagram
https://www.instagram.com/jumbo4fun

也可加入公司Line官方帳號接收最新職缺消息，
各式求職相關問題皆可在此帳號中發問，提供一對一諮詢哦!
請在LINE中加此ID為好友 ""@tio2381v""",false,0~5,2026-01-28 09:38:43.242552+00
